language,type,i,c,id,hunspell_check,hunspell_corrected
Russian,RY,Truely,Honestly,person_342,FALSE,Truly
German,RN,begining,outset,person_144,FALSE,beginning
Italian,RV,seting,working,person_151,FALSE,sting
Catalan,RN,standart,normal,person_2127,FALSE,standard
Catalan,RV,expulsed,expelled,person_2127,FALSE,ex pulsed
Catalan,RN,comodity,ease,person_2132,FALSE,commodity
Catalan,RJ,ethnical,world,person_2132,FALSE,ethical
Catalan,RN,carreer,degree,person_1349,FALSE,career
French,RN,habitants,inhabitants,person_2779,FALSE,habitats
French,RJ,hight,loud,person_123,FALSE,hit
Polish,RJ,neccessary,compulsory,person_453,FALSE,necessary
Polish,RV,introdus,explain,person_251,FALSE,introduces
Korean,RV,appreicate,congratulate,person_284,FALSE,appreciate
Italian,RN,beheviour,manners,person_935,FALSE,behavior
Russian,RN,Mr/Mrs,Sir/Madam,person_1494,FALSE,Mrs
French,RV,prefered,liked,person_477,FALSE,preferred
Turkish,RV,recognise,introduce,person_558,FALSE,recognize
Portuguese,RN,appoitments,comments,person_575,FALSE,appointments
Catalan,RJ,deceiveful,disappointing,person_1826,FALSE,deceitful
Catalan,RN,commitent,responsibility,person_1826,FALSE,commitment
Spanish,RN,enthusiasmic,fan,person_803,FALSE,enthusiastic
Spanish,RY,abosolutly,very,person_803,FALSE,absolutely
Swedish,RN,choise,decision,person_778,FALSE,choose
Russian,RV,recieve,get,person_546,FALSE,receive
German,RJ,unpleased,unhappy,person_1775,FALSE,unreleased
German,RY,aroud,out,person_1775,FALSE,around
Turkish,RJ,avaliable,possible,person_2241,FALSE,available
German,RJ,favourite,main,person_235,FALSE,favorite
Spanish,RV,beheaved,stayed,person_2731,FALSE,behaved
Spanish,RV,beheave,stayed,person_2731,FALSE,behave
Greek,RV,realised,discovered,person_816,FALSE,realized
Polish,RN,remedium,cure,person_625,FALSE,re medium
French,RN,copie,photocopy,person_1372,FALSE,cope
Polish,RN,dutes,chores,person_223,FALSE,duets
Spanish,RV,realise,imagine,person_2295,FALSE,realist
Spanish,RV,reconize,admit,person_2295,FALSE,recognize
Spanish,RY,formaly,actually,person_1575,FALSE,formal
Spanish,RN,maners,language,person_1575,FALSE,manes
Italian,RV,restructurated,repaired,person_2097,FALSE,restructured
Greek,RV,speacing,talking,person_1159,FALSE,spacing
Swedish,RJ,uncorrect,inaccurate,person_2493,FALSE,incorrect
Polish,RN,argeuments,facts,person_2131,FALSE,arguments
German,RN,theatre,production,person_2441,FALSE,theater
Italian,RY,immediatly,constantly,person_2333,FALSE,immediately
Spanish,RV,recognise,admit,person_1809,FALSE,recognize
Swedish,RN,personall,staff,person_1189,FALSE,personal
Russian,RV,plaied,performed,person_1981,FALSE,plaid
Spanish,RV,DISSAPROVE,FAILED,person_2720,FALSE,DISAPPROVE
Spanish,RV,DISSAPROVED,FAILED,person_2720,FALSE,DISPROVE
Swedish,RN,theatre,production,person_2683,FALSE,theater
Portuguese,RV,reiceve,have,person_1110,FALSE,receive
Greek,RN,theatre,show,person_1662,FALSE,theater
Portuguese,RJ,despleased,unpleasant,person_525,FALSE,displeased
Portuguese,RV,anouced,promised,person_525,FALSE,announced
Japanese,RN,entertament,show,person_1099,FALSE,entertainment
Spanish,RV,asist,attend,person_719,FALSE,asst
Russian,RY,particulary,practically,person_2631,FALSE,particular
French,RJ,joinable,available,person_686,FALSE,join able
French,RY,accutely,closely,person_686,FALSE,acutely
French,RJ,volontary,deliberate,person_2427,FALSE,voluntary
French,RV,refind,recover,person_2427,FALSE,refund
Portuguese,RJ,irratable,irritating,person_1648,FALSE,irritable
Korean,RJ,boaring,bored,person_1664,FALSE,bewaring
Spanish,RJ,differents,various,person_2580,FALSE,different
Spanish,RV,dissappeared,failed,person_2032,FALSE,disappeared
Spanish,RY,absolutelly,completely,person_2032,FALSE,absolutely
French,RV,mentionned,promised,person_2350,FALSE,mentioned
German,RV,plaied,performed,person_442,FALSE,plaid
Spanish,RV,recive,get,person_1459,FALSE,revive
Spanish,RY,realy,actually,person_1459,FALSE,relay
Catalan,RV,comunicate,tell,person_871,FALSE,communicate
Japanese,RN,outlooking,appearance,person_1920,FALSE,out looking
Japanese,RN,outlooking,appearance,person_1920,FALSE,out looking
Greek,RN,Mr/Mrs,Sir/Madam,person_2019,FALSE,Mrs
Greek,RN,theatre,show,person_2019,FALSE,theater
Greek,RV,retern,give,person_2019,FALSE,renter
Greek,RN,safty,defence,person_2019,FALSE,safety
French,RN,domaine,area,person_870,FALSE,domain
Turkish,RJ,unforgiven,unforgivable,person_2192,FALSE,unforgiving
Greek,RY,senciarly,faithfully,person_1125,FALSE,semiyearly
French,RV,prefered,liked,person_699,FALSE,preferred
Portuguese,RN,theatre,performance,person_1938,FALSE,theater
Portuguese,RN,theatre,performance,person_1938,FALSE,theater
Portuguese,RN,theatre,performance,person_1938,FALSE,theater
Spanish,RV,cuold,had,person_2203,FALSE,could
Greek,RN,sunrays,rays,person_883,FALSE,sun rays
French,RV,practicate,go,person_1656,FALSE,practical
Swedish,RN,theatre,show,person_1859,FALSE,theater
French,RJ,surpprising,surprised,person_2375,FALSE,surprising
French,RV,entred,came,person_1278,FALSE,entered
Spanish,RN,techincs,technologies,person_1091,FALSE,tech incs
Polish,RY,sincerelly,faithfully,person_261,FALSE,sincerely
Swedish,RJ,correkt,accurate,person_2229,FALSE,correct
Swedish,RV,shoulden't,couldn't,person_2229,FALSE,shouldn't
Swedish,RJ,uncountless,infinite,person_2201,FALSE,countless
Spanish,RJ,thankfull,grateful,person_2200,FALSE,thankful
Greek,RJ,dissapointing,disappointed,person_1133,FALSE,disappointing
Greek,RJ,siriale,serious,person_1133,FALSE,Silesia
Spanish,RN,behaviour,thing,person_2600,FALSE,behavior
Spanish,RV,organised,performed,person_1081,FALSE,organized
French,RJ,embarassed,awkward,person_2749,FALSE,embarrassed
Italian,RV,waisted,wasted,person_926,FALSE,waited
Russian,RN,theatre,drama,person_1334,FALSE,theater
Thai,RV,recommened,stated,person_1136,FALSE,recommend
Catalan,RN,agressions,attacks,person_1687,FALSE,aggression
Spanish,RV,occured,follow,person_1134,FALSE,occurred
Korean,RJ,availiable,possible,person_2429,FALSE,available
Polish,RV,apologise,excuse,person_1478,FALSE,apologies
Russian,RV,requere,request,person_892,FALSE,require
Russian,RN,mashiens,appliances,person_892,FALSE,penmanship
Spanish,RY,Cassually,Coincidentally,person_2671,FALSE,Casually
Spanish,RN,begginer,novice,person_1224,FALSE,beginner
Spanish,RN,anouncement,advertisement,person_1386,FALSE,announcement
Spanish,RN,anouncement,advertisement,person_1386,FALSE,announcement
Thai,RJ,embarassing,embarrassed,person_2472,FALSE,embarrassing
Turkish,RJ,colourful,colour,person_1806,FALSE,colorful
Thai,RY,centainly,sincerely,person_389,FALSE,certainly
Chinese,RV,realised,thought,person_1541,FALSE,realized
Catalan,RJ,diferents,various,person_1958,FALSE,different
Greek,RN,theatre,show,person_2262,FALSE,theater
Spanish,RN,posibility,opportunity,person_2075,FALSE,possibility
Italian,RV,enjoied,wanted,person_983,FALSE,enjoined
Portuguese,RN,comodity,convenience,person_2459,FALSE,commodity
German,RJ,discountable,discount,person_1815,FALSE,dis countable
Portuguese,RV,expent,had,person_213,FALSE,expert
Greek,RV,refering,mentioning,person_1961,FALSE,referring
Japanese,RN,begining,start,person_2298,FALSE,beginning
French,RV,layed,placed,person_1034,FALSE,slayed
Japanese,RV,occured,happened,person_574,FALSE,occurred
Chinese,RN,invesgation,research,person_2676,FALSE,investigation
Turkish,RN,theatre,play,person_1155,FALSE,theater
Turkish,RJ,disapponted,disappointing,person_1155,FALSE,disappointed
Greek,RJ,socialised,sociable,person_1141,FALSE,socialized
Spanish,RV,descover,invented,person_1194,FALSE,discover
Russian,RJ,availble,apparent,person_1619,FALSE,available
Italian,RV,substituded,replaced,person_614,FALSE,substituted
Italian,RV,substitudes,replaces,person_614,FALSE,substitutes
Spanish,RN,collegue,classmate,person_2648,FALSE,college
Japanese,RJ,effecient,convenient,person_1962,FALSE,efficient
Japanese,RJ,combinient,easier,person_1962,FALSE,combination
Thai,RV,learnt,studied,person_577,FALSE,learn
Polish,RJ,honoured,entitled,person_952,FALSE,honored
Polish,RV,recieve,get,person_952,FALSE,receive
French,RV,occuried,happened,person_1426,FALSE,occurred
Portuguese,RJ,disapointed,disappointing,person_2311,FALSE,disappointed
Spanish,RV,practised,played,person_426,FALSE,practiced
Thai,RN,puzzal,puzzlement,person_1615,FALSE,puzzle
Spanish,RV,requiered,requested,person_1167,FALSE,required
French,RV,practised,done,person_181,FALSE,practiced
Russian,RV,claped,applauded,person_793,FALSE,placed
Chinese,RJ,unpleased,unpleasant,person_234,FALSE,unreleased
Korean,RN,authography,autograph,person_15,FALSE,autobiography
Korean,RN,authography,autograph,person_15,FALSE,autobiography
French,RN,experiance,process,person_369,FALSE,experience
French,RN,experiance,process,person_369,FALSE,experience
Spanish,RV,practise,play,person_1548,FALSE,practice
Spanish,RV,practised,done,person_1548,FALSE,practiced
Italian,RV,practising,do,person_2727,FALSE,practicing
Greek,RN,travelling,travel,person_791,FALSE,traveling
Spanish,RJ,appropiate,adequate,person_395,FALSE,appropriate
Spanish,RN,theatre,venue,person_381,FALSE,theater
French,RV,pratise,do,person_2478,FALSE,praise
Portuguese,RV,practise,do,person_2483,FALSE,practice
Spanish,RV,practise,do,person_1175,FALSE,practice
Polish,RV,conludes,ends,person_2681,FALSE,concludes
Spanish,RV,PRACTISE,PLAY,person_2642,FALSE,PRACTICE
Spanish,RV,PREPAIRING,PACK,person_2642,FALSE,PREPARING
Spanish,RV,practised,done,person_1363,FALSE,practiced
Chinese,RN,arguement,arrangement,person_2290,FALSE,argument
Greek,RN,assiment,job,person_2090,FALSE,assignment
Greek,RV,tranfere,convey,person_2090,FALSE,transfer
French,RN,furnitures,equipment,person_2084,FALSE,furniture
Spanish,RV,practising,doing,person_782,FALSE,practicing
Spanish,RV,colaborated,help,person_782,FALSE,collaborated
Chinese,RV,leant,learnt,person_231,FALSE,lean
Polish,RN,destenation,goal,person_393,FALSE,destination
Russian,RN,swimm,swimming,person_2481,FALSE,swim
Italian,RY,faithfuly,sincerely,person_1892,FALSE,faithful
Italian,RV,regardes,occurs,person_1892,FALSE,regrades
French,RV,practise,do,person_109,FALSE,practice
Dutch,RV,mabey,might,person_1272,FALSE,maybe
Italian,RN,partecipation,enrolment,person_2579,FALSE,participation
French,RV,practised,tried,person_280,FALSE,practiced
Catalan,RV,practise,play,person_2544,FALSE,practice
French,RN,sellor,assistant,person_2222,FALSE,seller
French,RN,sellor,assistant,person_2222,FALSE,seller
French,RN,sellor,assistant,person_2222,FALSE,seller
French,RN,experimentations,experiments,person_2578,FALSE,experimentation
French,RV,practise,do,person_2578,FALSE,practice
Chinese,RV,sould,will,person_524,FALSE,souls
Spanish,RV,riched,achieved,person_691,FALSE,ruched
Italian,RV,practise,do,person_1677,FALSE,practice
Spanish,RV,practise,do,person_644,FALSE,practice
French,RV,practise,play,person_2181,FALSE,practice
Spanish,RN,comodities,luxuries,person_730,FALSE,commodities
Italian,RJ,embaracing,embarrassed,person_2745,FALSE,embracing
Thai,RV,infrom,give,person_725,FALSE,inform
Italian,RV,saing,showing,person_2619,FALSE,gains
Spanish,RJ,addecuate,suitable,person_447,FALSE,adequate
Spanish,RV,practised,done,person_2635,FALSE,practiced
Spanish,RV,practise,play,person_2635,FALSE,practice
Polish,RJ,interestsing,interested,person_721,FALSE,interesting
Russian,RJ,usefull,good,person_2225,FALSE,useful
Italian,RV,contaged,infected,person_286,FALSE,cont aged
Japanese,RJ,stressfull,stressed,person_1739,FALSE,stressful
Spanish,RV,practised,done,person_2740,FALSE,practiced
Turkish,RN,possibilies,facilities,person_1301,FALSE,possibilities
Portuguese,RJ,pleaseant,pleased,person_1329,FALSE,pleasant
German,RN,possebility,option,person_64,FALSE,possibility
Russian,RY,absolutly,completely,person_1895,FALSE,absolutely
Spanish,RJ,exating,excited,person_326,FALSE,eating
Spanish,RN,colaboration,cooperation,person_2420,FALSE,collaboration
Spanish,RV,controling,checking,person_2346,FALSE,controlling
Catalan,RV,practis,play,person_1883,FALSE,practices
Turkish,RV,apreciate,thank,person_1115,FALSE,appreciate
Thai,RJ,heavey,hard,person_2540,FALSE,heave
Chinese,RN,debutant,beginner,person_1909,FALSE,debutante
Korean,RJ,marvellous,amazed,person_2025,FALSE,marvelous
French,RN,mythes,legends,person_2031,FALSE,myths
Thai,RN,travelling,trip,person_858,FALSE,traveling
Spanish,RN,choise,time,person_1441,FALSE,choose
Spanish,RN,jewells,jewellery,person_1441,FALSE,jewels
Russian,RV,apreciate,enjoy,person_2564,FALSE,appreciate
Polish,RJ,atractive,appealing,person_6,FALSE,attractive
Polish,RJ,hugh,long,person_6,FALSE,Hugh
Spanish,RN,SCENARY,STAGE,person_1044,FALSE,SCENERY
French,RN,precisions,things,person_511,FALSE,previsions
Japanese,RY,paticulaly,specially,person_1246,FALSE,particularly
Greek,RV,recognise,see,person_2149,FALSE,recognize
Russian,RN,travelling,trip,person_1697,FALSE,traveling
Thai,RV,joinning,attending,person_2361,FALSE,joining
German,RV,recognised,realised,person_856,FALSE,recognized
Spanish,RV,practised,did,person_1907,FALSE,practiced
Chinese,RN,photographies,photographs,person_2215,FALSE,photographic
Portuguese,RV,practising,playing,person_2016,FALSE,practicing
Greek,RN,enquiries,questions,person_2176,FALSE,inquiries
Greek,RN,enquiries,questions,person_2176,FALSE,inquiries
Spanish,RV,praticed,tried,person_310,FALSE,practiced
Italian,RV,practising,training,person_93,FALSE,practicing
Italian,RV,practised,tried,person_93,FALSE,practiced
Portuguese,RV,praticing,doing,person_1453,FALSE,practicing
Chinese,RN,evant,sport,person_1902,FALSE,Levant
German,RV,controll,check,person_1094,FALSE,control
Spanish,RV,practising,playing,person_2576,FALSE,practicing
French,RN,mecanics,engineering,person_2577,FALSE,mechanics
Spanish,RN,caverns',stone,person_1903,FALSE,cavern's
Russian,RN,travelling,trip,person_2359,FALSE,traveling
Russian,RV,elucidaded,discovered,person_2359,FALSE,elucidated
Spanish,RN,hostessess,waitresses,person_918,FALSE,hostesses
Spanish,RV,prepered,trained,person_918,FALSE,prepared
Spanish,RN,repplies,information,person_2039,FALSE,replies
Spanish,RV,pactice,do,person_2039,FALSE,practice
Portuguese,RV,practise,do,person_2574,FALSE,practice
Spanish,RN,reguest,question,person_2010,FALSE,re guest
French,RV,evoques,addresses,person_879,FALSE,evokes
Portuguese,RV,pratice,do,person_1492,FALSE,practice
Catalan,RV,recognise,know,person_2400,FALSE,recognize
French,RN,teatcher,staff,person_85,FALSE,teacher
French,RV,practise,do,person_1191,FALSE,practice
Portuguese,RJ,unpredicted,unexpected,person_1218,FALSE,unpredictable
Japanese,RN,travelling,trip,person_1754,FALSE,traveling
Thai,RN,offerring,offer,person_2512,FALSE,offering
Russian,RV,leve,stay,person_2664,FALSE,elev
Catalan,RV,practising,playing,person_823,FALSE,practicing
German,RN,tournement,tour,person_1596,FALSE,tournament
Greek,RY,specialy,especially,person_2713,FALSE,special
Greek,RJ,greateful,great,person_2713,FALSE,grateful
Spanish,RV,practising,doing,person_1568,FALSE,practicing
German,RJ,favourite,popular,person_2707,FALSE,favorite
Spanish,RN,scenary,stage,person_2129,FALSE,scenery
Spanish,RN,scenary,stage,person_2129,FALSE,scenery
Thai,RV,practcing,playing,person_2698,FALSE,practicing
French,RV,practised,tried,person_1197,FALSE,practiced
Chinese,RN,articals,items,person_27,FALSE,verticals
Spanish,RJ,diferent,various,person_763,FALSE,different
German,RV,controll,check,person_2703,FALSE,control
German,RV,learnd,got,person_2703,FALSE,learns
Portuguese,RY,quik,quickly,person_2070,FALSE,quirk
Spanish,RV,realise,find,person_372,FALSE,realist
Spanish,RV,practise,do,person_358,FALSE,practice
Spanish,RN,afimation,summary,person_358,FALSE,animation
Korean,RN,activitily,exercise,person_2462,FALSE,activity
Korean,RV,enquired,required,person_1157,FALSE,inquired
Spanish,RV,practise,play,person_1584,FALSE,practice
Catalan,RV,practised,done,person_2066,FALSE,practiced
Catalan,RV,practising,doing,person_2066,FALSE,practicing
Turkish,RY,specialy,especially,person_1022,FALSE,special
Turkish,RY,Specialy,Especially,person_1022,FALSE,Special
Spanish,RV,practised,been,person_749,FALSE,practiced
Spanish,RV,practising,playing,person_749,FALSE,practicing
Thai,RV,practising,playing,person_1585,FALSE,practicing
Greek,RV,reasure,assure,person_1618,FALSE,erasure
Greek,RV,tranfer,move,person_1618,FALSE,transfer
Russian,RJ,acknowledgeable,interesting,person_2894,FALSE,ac knowledgeable
Italian,RN,compehension,understanding,person_2644,FALSE,comprehension
Turkish,RJ,argueing,contentious,person_2680,FALSE,arguing
Catalan,RN,organisation,itinerary,person_1823,FALSE,organization
French,RN,litteracy,literature,person_543,FALSE,literacy
Thai,RN,programme,event,person_224,FALSE,programmer
Greek,RN,programme,event,person_2141,FALSE,programmer
Korean,RN,programme,event,person_928,FALSE,programmer
French,RN,audiance,public,person_2140,FALSE,audience
Greek,RN,sightseeings,sights,person_2630,FALSE,sightseeing
French,RN,programme,plan,person_1517,FALSE,programmer
Spanish,RJ,interresting,interested,person_1840,FALSE,interesting
Spanish,RV,folling,pursuing,person_1840,FALSE,dolling
Greek,RN,programme,event,person_1263,FALSE,programmer
Thai,RN,programme,event,person_2541,FALSE,programmer
Thai,RV,organised,have,person_2541,FALSE,organized
Thai,RN,programme,event,person_2541,FALSE,programmer
Japanese,RJ,dissapointed,depressed,person_1939,FALSE,disappointing
French,RN,comprehention,understanding,person_698,FALSE,comprehension
French,RN,responsability,fault,person_698,FALSE,responsibility
Korean,RV,huggest,offer,person_102,FALSE,hugest
Chinese,RV,favour,like,person_516,FALSE,favor
Polish,RN,programme,show,person_1295,FALSE,programmer
Turkish,RN,organasation,itinerary,person_1581,FALSE,organization
Spanish,RJ,especiall,special,person_567,FALSE,especial
Thai,RN,programme,event,person_2274,FALSE,programmer
Russian,RV,mack,arranged,person_1033,FALSE,Mack
Russian,RN,programme,program,person_1033,FALSE,programmer
German,RV,realised,noticed,person_2302,FALSE,realized
Chinese,RV,targelting,aiming,person_217,FALSE,targeting
Polish,RN,poscesives,possessions,person_997,FALSE,possessives
Catalan,RN,programme,route,person_2667,FALSE,programmer
Chinese,RN,programme,event,person_951,FALSE,programmer
Thai,RJ,exsciting,excited,person_1586,FALSE,exciting
Chinese,RJ,greatful,great,person_1037,FALSE,grateful
Greek,RV,conteins,covers,person_1552,FALSE,contains
Spanish,RN,REPRECENTATION,BEHALF,person_1234,FALSE,REPRESENTATION
Spanish,RJ,WRON,BAD,person_1234,FALSE,WORN
Polish,RJ,bigest,greatest,person_946,FALSE,biggest
Greek,RY,faithfuly,sincerely,person_1116,FALSE,faithful
Greek,RV,liten,learn,person_3003,FALSE,lighten
Catalan,RJ,unforgiven,unforgettable,person_3038,FALSE,unforgiving
Catalan,RV,Whising,Hoping,person_3038,FALSE,Wising
Japanese,RJ,convinient,easy,person_3039,FALSE,convenient
Japanese,RJ,inconvinient,difficult,person_3039,FALSE,inconvenient
Japanese,RN,questione,thinking,person_3039,FALSE,question
Catalan,RJ,contradictorious,ironic,person_3101,FALSE,contradictions
Thai,RJ,greatful,pleased,person_3100,FALSE,grateful
Catalan,RN,souroundings,area,person_3074,FALSE,surroundings
German,RJ,speciall,formal,person_3063,FALSE,special
Catalan,RN,efect,event,person_3305,FALSE,defect
German,RN,entery,entrance,person_2959,FALSE,enter
Italian,RV,organised,held,person_3298,FALSE,organized
Italian,RN,paviment,ceiling,person_3298,FALSE,pavement
Russian,RJ,usuall,everyday,person_3122,FALSE,usual
Russian,RJ,usuall,everyday,person_3122,FALSE,usual
Russian,RJ,higre,greater,person_3122,FALSE,hire
Portuguese,RN,intension,aim,person_2951,FALSE,intention
German,RY,Furthemore,Also,person_3291,FALSE,Furthermore
